name,model_name,backend_used,effective_clip_frames,effective_sampling_rate,input_resize,input_crop,stride_frames,bandwidth_mbps,network_delay_ms,packet_loss,queue_delay_ms,jpeg_quality,n_total_manifest_rows,n_evaluated_videos,n_skipped_videos,video_top1_accuracy,avg_confidence,n_gt_classes_in_eval,n_pred_classes_in_eval,n_chunks,n_effective_chunks,n_dropped_chunks,chunk_top1_accuracy,infer_avg_ms,infer_p95_ms,tx_avg_ms,first_result_ms,end_to_end_avg_ms,prediction_switch_rate_avg,run_wall_time_sec,run_wall_time_min,_score_acc,_score_latency,_score_stability,_score_drop,tradeoff_score
chunk_frames_8__input_resize_182__sampling_rate_12__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_50_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,8,12,182,182,8,8.0,50.0,0.0,0.0,80,20,20,0,0.65,0.6319019602632177,7,13,391,391,0,0.6112531969309463,9.83823734011477,12.346850000540144,62.201683883471865,123.33453562472133,122.03992122358665,0.1661052631578947,7.434952600000543,0.1239158766666757,1.0,0.9213423200224393,0.4632584741204136,1.0,0.9227285434187732
chunk_frames_16__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,16,6,182,182,8,8.0,0.0,0.01,0.0,80,20,20,0,0.65,0.5548136201370787,7,12,391,385,6,0.561038961038961,11.06110285705276,13.77571999910287,124.1522188698849,136.63223124970972,135.08273435055926,0.1502880116959064,10.938738400000148,0.1823123066666691,1.0,0.9087479410871839,0.6113249732428306,0.8723404255319149,0.9209909222036297
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,1.0,0.0,0.0,0.0,80,20,20,0,0.65,0.771471383373694,7,13,1129,1129,0,0.6147032772364924,9.385199291408776,11.354320000100412,247.6265638839681,276.7162456251972,257.01176317537687,0.1280932282386126,15.98748180000257,0.2664580300000428,1.0,0.7910110405214803,0.8190920365154354,1.0,0.9192125158079876
chunk_frames_8__input_resize_182__sampling_rate_12__stride_frames_8__bandwidth_mbps_4_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,8,12,182,182,8,4.0,0.0,0.0,0.0,80,20,20,0,0.65,0.6319019602632177,7,13,391,391,0,0.6112531969309463,10.313350127988627,12.8766000016185,124.40336776694372,136.04622625031772,134.71671789493237,0.1661052631578947,7.723933899997064,0.1287322316666177,1.0,0.9091013732719302,0.4632584741204136,1.0,0.9190562593936203
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_50_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,50.0,0.01,0.0,80,20,20,0,0.65,0.7653104647749333,7,13,568,559,9,0.6171735241502684,10.088020214677528,12.667049999072333,30.990036655479752,92.26340265630134,91.11701311494586,0.160251196923991,8.885826599998836,0.1480971099999806,1.0,0.9512020457356681,0.5180588352936507,0.8085106382978723,0.9180175610798528
chunk_frames_8__input_resize_182__sampling_rate_12__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_20_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,8,12,182,182,8,8.0,20.0,0.01,0.0,80,20,20,0,0.65,0.6323193674125233,7,13,391,385,6,0.6077922077922078,9.777811168858936,11.794719998579232,62.201683883471865,93.43641062464886,91.91333775165114,0.1669824561403508,7.360508100002335,0.1226751350000389,1.0,0.9504331001000517,0.4550470036080331,0.8723404255319149,0.9178686729440102
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_4_0__network_delay_ms_20_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,4.0,20.0,0.01,0.0,80,20,20,0,0.65,0.7653104647749333,7,13,568,559,9,0.6171735241502684,9.654000715534506,11.616240000148537,61.980073310959504,94.51601531226042,91.71198651607118,0.160251196923991,8.574414499998966,0.1429069083333161,1.0,0.9506275285362554,0.5180588352936507,0.8085106382978723,0.9178452059200289
chunk_frames_16__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,16,6,182,182,4,8.0,0.0,0.0,0.0,80,20,20,0,0.65,0.5558958568556607,7,12,774,774,0,0.5581395348837209,10.115243540126391,12.466134998612686,124.0066391109496,135.25003124999347,134.121882651076,0.1678881535070168,19.24794320000001,0.3207990533333335,1.0,0.9096757570641567,0.44656870137778126,1.0,0.9175595972570251
chunk_frames_16__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_50_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,16,6,182,182,8,8.0,50.0,0.0,0.0,80,20,20,0,0.65,0.5536631943734063,7,12,391,391,0,0.5652173913043478,11.172064194332403,14.32840000052238,124.1522188698849,186.99307624996,185.32428306421733,0.1523347953216374,11.099968599999556,0.1849994766666592,1.0,0.8602337826281206,0.592164875380608,1.0,0.9172866223264969
chunk_frames_8__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_50_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,8,6,182,182,4,8.0,50.0,0.0,0.0,80,20,20,0,0.65,0.5952911693120518,7,12,1009,1009,0,0.5777998017839445,10.221785034725356,13.133840001682977,61.905462168607535,124.30279367228069,122.12724720333289,0.1720453726684979,18.50018110000019,0.3083363516666698,1.0,0.9212579964590246,0.4076526552616529,1.0,0.9171426644638727
